Interval=	0.001 s
ExcelDateTime=	4.5785669035211446e+004	5/8/2025 16:03:24.642269
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0.059	-1.342969	-1.381641	-1.212891	-1.279688	-1.511719	-0.9808594	-1.290234	-1.300781
0.06	-1.402734	-1.437891	-1.276172	-1.318359	-1.589063	-0.984375	-1.328906	-1.325391
0.061	-1.283203	-1.311328	-1.167188	-1.188281	-1.473047	-0.8613281	-1.212891	-1.188281
0.062	-0.9667969	-0.9878906	-0.871875	-0.8753906	-1.142578	-0.5871094	-0.9140625	-0.871875
0.063	-0.4113281	-0.4289063	-0.3410156	-0.3480469	-0.5449219	-0.1300781	-0.3972656	-0.3410156
0.064	0.1511719	0.1300781	0.2039063	0.1828125	0.06328125	0.3199219	0.1160156	0.1792969
0.065	0.6996094	0.6855469	0.7417969	0.6996094	0.6644531	0.7453125	0.61875	0.6820313
0.066	1.244531	1.226953	1.265625	1.202344	1.258594	1.146094	1.107422	1.170703
0.067	1.589063	1.564453	1.603125	1.508203	1.641797	1.371094	1.40625	1.4625
0.068	1.715625	1.676953	1.729688	1.603125	1.789453	1.423828	1.497656	1.543359
0.069	1.648828	1.606641	1.673438	1.525781	1.733203	1.332422	1.427344	1.458984
0.07	1.409766	1.364063	1.448438	1.286719	1.490625	1.117969	1.205859	1.219922
0.071	0.9140625	0.8683594	0.9808594	0.8121094	0.9597656	0.703125	0.7453125	0.7417969
0.072	0.3304688	0.2777344	0.4078125	0.2496094	0.3234375	0.2285156	0.196875	0.1933594
0.073	-0.2039063	-0.253125	-0.1125	-0.253125	-0.2566406	-0.1828125	-0.2882813	-0.2917969
0.074	-0.7699219	-0.815625	-0.6539063	-0.7734375	-0.871875	-0.6046875	-0.7945313	-0.8015625
0.075	-1.191797	-1.2375	-1.061719	-1.156641	-1.342969	-0.8964844	-1.170703	-1.177734
0.076	-1.392188	-1.430859	-1.262109	-1.328906	-1.567969	-0.9984375	-1.335938	-1.328906
