Time	EMG_Ch1	EMG_Ch2	EMG_Ch3	EMG_Ch4	EMG_Ch5	EMG_Ch6	EMG_Ch7	EMG_Ch8
0.0	0.043469284024654845	0.0440131834113806	0.0411679055352879	0.04246928189495357	0.04574486622091105	0.03725592752659969	0.041292459392636136	0.04311345762131645
0.001	-0.16030520454826286	-0.16070661021608382	-0.1537843941998973	-0.15312828126900044	-0.17360783304844538	-0.12922569593941566	-0.1522226390771523	-0.15083549310948408
0.002	-0.31798378302947333	-0.3191366808666225	-0.304532902818378	-0.30454074430597866	-0.34325668266844706	-0.25819076175266836	-0.3018007542497049	-0.30101429211776887
0.003	-0.39040255431683174	-0.39191201732659603	-0.3736178089731381	-0.37408601657466845	-0.4211398356968257	-0.3174641780912318	-0.37024369497745313	-0.3700049824049245
0.004	-0.3625412969091423	-0.3639465061228936	-0.34671450977414325	-0.34730739073389943	-0.39110116454126354	-0.2946992083593027	-0.34337720567362656	-0.34350838910629466
0.005	-0.24687934944690804	-0.24779453104495294	-0.23583049783226512	-0.23620292644495205	-0.26650293463656016	-0.20013055418956144	-0.23319315254496753	-0.23352058937201478
0.006	-0.07857063133164213	-0.0787865182708383	-0.07466514277803285	-0.07458250847837936	-0.08508128003269823	-0.06260265225401698	-0.07320864470102427	-0.07366009156677798
0.007	0.09573893525917904	0.09621913038701184	0.09211338358891512	0.09269252139574369	0.10301744304291047	0.07962261402409626	0.09220167421814855	0.09157920886310147
0.008	0.23167392779253565	0.2326642508772505	0.2220497934456718	0.2229536668266319	0.24999021525637538	0.1901733683752319	0.2208965929268624	0.2200047308119611
0.009	0.29910358668985304	0.3003095902809239	0.28635682796588646	0.2872516416245492	0.3232513063931443	0.24440357606488688	0.28433168943815273	0.28313671144929103
0.01	0.28886347562412884	0.2899703415992717	0.2763302641619709	0.2768302984840882	0.31271024077117987	0.23491361157662768	0.2739148743138216	0.2725479228617339
0.011	0.21274243444577143	0.21349014750194606	0.2033125652234035	0.2031172200798852	0.23084415469612818	0.17153681688712186	0.20096186393546603	0.1997432039571313
0.012	0.09753775860508687	0.09776879984189943	0.09298335764927958	0.09199712905271157	0.10639340353801113	0.07644616208222832	0.09102733181926423	0.09038759523643197
0.013	-0.02424833696954115	-0.024570136758463507	-0.023552765964573445	-0.02516035044413041	-0.02559152025729558	-0.023512179735313526	-0.02493944231840639	-0.024620224457872653
0.014	-0.12379762785648568	-0.12459064960987642	-0.11874562621006676	-0.12056708749954953	-0.13385789749776927	-0.10457186435520463	-0.11950993316804637	-0.1180831988175407
