Time	EMG_Ch1	EMG_Ch2	EMG_Ch3	EMG_Ch4	EMG_Ch5	EMG_Ch6	EMG_Ch7	EMG_Ch8
0.0	-0.0322937946853124	-0.033236892492780015	-0.030883714566441695	-0.03297314147666509	-0.03351177455963969	-0.03073039065803921	-0.03175321483148964	-0.033741854816236344
0.001	0.16377691042706477	0.1654353286595518	0.1565781749605986	0.15769199049179225	0.17452348753027197	0.13492984483703277	0.15305277321478314	0.15870488142669684
0.002	0.31551880787508757	0.31922428233601596	0.30172322728020295	0.3053818430829412	0.3354807134260889	0.26332287931414317	0.29617922253608464	0.3075556783420549
0.003	0.3863088279032361	0.3909786875632757	0.369486214132971	0.374323324616737	0.4105373279476927	0.3231597402625048	0.3629682991110525	0.3765860336266991
0.004	0.36141703687501964	0.36577499911904454	0.3457273923098965	0.3501589323674342	0.3840696784907669	0.30198318109354594	0.339514749569767	0.35143846875164736
0.005	0.251396606406598	0.2543450659588241	0.24050487123112138	0.24324116932704376	0.26726024961415235	0.20900698220055774	0.23585577085851836	0.24290276007191292
0.006	0.08821005570421875	0.08912131403401743	0.08438705566677916	0.08479607329925579	0.09400262314360995	0.07165568617006984	0.08225394435525588	0.08289523558296383
0.007	-0.08450759688960896	-0.08566577279292702	-0.08086238972284548	-0.08264440927437096	-0.08941788869948125	-0.07291914287456207	-0.08007168313244631	-0.08538801094463343
0.008	-0.2238802657572996	-0.22660745124535883	-0.21419379207296788	-0.21740922503442586	-0.23750998327879824	-0.18854601853818392	-0.21073389454193384	-0.21990154520513944
0.009	-0.2990920584729431	-0.3025637382630704	-0.28610610852960583	-0.2896950756009678	-0.31756871749085447	-0.2496339671507155	-0.2808441672124885	-0.290903253865399
0.01	-0.2983537496124984	-0.30168903813311354	-0.28532864517727646	-0.2882868602881245	-0.31706919036721987	-0.24692826625293243	-0.27952826899831973	-0.287648278537631
0.011	-0.2299318468703844	-0.2324260796275467	-0.21980722005207423	-0.22145713811937626	-0.2447566340287165	-0.18811816597740771	-0.2148011728375995	-0.21910323563730183
0.012	-0.11760434478163709	-0.11886048794345636	-0.11234094039606224	-0.11244517690102612	-0.12581910229887341	-0.09371365921342965	-0.1091863445785122	-0.10915620573218889
0.013	0.007452782174641896	0.007510813105863379	0.007206970531157805	0.008488334941273941	0.006725550518257142	0.009995045294224965	0.007987905089856112	0.01157573193589747
0.014	0.11554077300334123	0.11674226222025924	0.11042614651696478	0.1126746981429852	0.1214413163073721	0.09844357472710905	0.10894250939191413	0.11449062715722244
0.015	0.18546298201300188	0.18749543437474595	0.1770916883937722	0.1797858616655524	0.19590722020155799	0.1545526393563463	0.17399307096760322	0.17971760930145625
0.016	0.20807826795543255	0.2105709965390897	0.1985526511756868	0.201178490195787	0.22045382404141028	0.17144063270796125	0.1947890240757107	0.1992822523293187
0.017	0.18609528296014322	0.18865793736836525	0.17750156227007155	0.1796029268584711	0.197909386912968	0.15196134942924466	0.17402033396283118	0.17656370609600064
0.018	0.13099227471186542	0.13322074637583592	0.12498196953609911	0.12617631346272232	0.14031214593878347	0.10592536462890054	0.12246570345896843	0.123040842957481
0.019	0.05859214286424912	0.06007809585399333	0.05611579549977061	0.05611882917679025	0.0642285085107381	0.04635979349214779	0.05484310873266447	0.05391059285508583
0.02	-0.015173723876849045	-0.014794601344448426	-0.013963134436046416	-0.015276514532207304	-0.013689137242248892	-0.01390777799924587	-0.0141013620186239	-0.015912478792761538
0.021	-0.07727839141861821	-0.07823009881613156	-0.07296785581933236	-0.0754773884386927	-0.07981706707615602	-0.06454156382874587	-0.07232462837022337	-0.07447174811026537
0.022	-0.11906074345605486	-0.1213104245132963	-0.11279740519097903	-0.11607439451349241	-0.12502461534438955	-0.09869356581173815	-0.1117713660300319	-0.11391164094127021
0.023	-0.1364080660487514	-0.13958540299836533	-0.12963555034603347	-0.13296353440724504	-0.14481187926041814	-0.1130246659316843	-0.12850535715915973	-0.13046553873790376
0.024	-0.12922613238474276	-0.13263749706686742	-0.12338025683088233	-0.12589563904323203	-0.13875109595738624	-0.10727007644650653	-0.12223612987555205	-0.12390562287496512
0.025	-0.10071613672246268	-0.10348352127880574	-0.09693054644017562	-0.09786607122556773	-0.10979420316277379	-0.08376580520334166	-0.09571951105519269	-0.0969569503824323
0.026	-0.05670921646761847	-0.05801313752571721	-0.055587804891047504	-0.05454389481378798	-0.06369791068064426	-0.0470771468515145	-0.05423672605219147	-0.05485444345766853
0.027	-0.005010775388540049	-0.0043646677599627655	-0.00652049271398638	-0.0036568998508678587	-0.00847621282362161	-0.0036028204095846506	-0.005066887620226567	-0.004901144821046742
0.028	0.04545374841216612	0.04799856968737276	0.04193660958195767	0.04588311994981836	0.04639287428074611	0.03908512100463176	0.04327730598798203	0.04425753265717035
0.029	0.0858509739042942	0.08965973340097	0.08134601752258667	0.08525293046952724	0.0912216573037782	0.07331676651796572	0.08221658335887497	0.08383457690159474
0.03	0.10895482227589857	0.11296241304811358	0.10458499248188051	0.10729585409178859	0.11779191276766487	0.09273510927839408	0.10461607238690941	0.10650184420338156
0.031	0.11065800190985971	0.11368699059372757	0.10734563210529512	0.10806197226096872	0.12111921914843918	0.09371693270962958	0.10632368739530973	0.10802549658356117
0.032	0.09102400346986783	0.09216635883081264	0.08927033774579335	0.08783583757428422	0.10077064482661537	0.07635171417530306	0.08726817550743829	0.08841483167176466
0.033	0.05446727420018925	0.05339547256323024	0.0542836608027434	0.05124546712934804	0.061230485000959484	0.04459109932309078	0.05169126612375397	0.05212800752511818
