Time	EMG_Ch1	EMG_Ch2	EMG_Ch3	EMG_Ch4	EMG_Ch5	EMG_Ch6	EMG_Ch7	EMG_Ch8
0.0	0.4512109156719876	0.4507033004997561	0.4296576545145363	0.42583159418628147	0.48675706039766997	0.3575868220171974	0.4217136735485455	0.4247258776156889
0.001	0.38052859799281485	0.37904345490209246	0.36204753890412955	0.3550214622320455	0.4142633195299272	0.2920241924005738	0.3521153120251493	0.35339776333611717
0.002	0.35242555358046423	0.34783491109001946	0.32989916910984274	0.3261753478676533	0.3785390649753964	0.2728147048836241	0.3263073523009495	0.3336453355309009
0.003	0.39442760343784616	0.3896612408491988	0.36576302634495145	0.36936763547948387	0.4226973482049598	0.31469427754474594	0.37060033801508296	0.37836142232774866
0.004	0.5098486921565822	0.5102739297107296	0.47840666234855367	0.48326045875375956	0.5469489148975206	0.4154050880892964	0.485562826468349	0.4919163026040978
0.005	0.6398808783341059	0.6432348383156764	0.6024930962671643	0.6042104417606027	0.6874738014924608	0.514229549952064	0.6077416430861088	0.6126231197951277
0.006	0.7674403580975944	0.7644252597824209	0.7228423925791804	0.7222878910389527	0.8277188695879013	0.6115606187469818	0.722833017157517	0.7249492093264184
0.007	0.8800339774134601	0.8757462733691466	0.8316495075211593	0.8292636271497843	0.9513351438683342	0.6978794307515197	0.8277245477019178	0.8263154260724168
0.008	0.9295886145002122	0.9238897792202175	0.882924582517278	0.8716392243326049	1.0072440335773014	0.7232383977863834	0.8695646710088034	0.8681236150580278
0.009	0.9046109461551867	0.8958854021784044	0.8616445259645357	0.8454425565474037	0.983566845727049	0.6922185952758187	0.8412519894162719	0.8366508537154309
0.01	0.8013742798433877	0.7930299084492587	0.7612886302860034	0.7461377594422861	0.8769202036253135	0.6031011555320457	0.7431523551693778	0.7266181370776296
0.011	0.6328126775103062	0.6245457680461238	0.603100891321007	0.5826801036985415	0.7007915896885629	0.46516093873682746	0.5814844863919256	0.5607680405805514
0.012	0.3878515867812746	0.3810369342007456	0.3726520650085152	0.35095627489467707	0.4378776061979957	0.26676401980326997	0.3499320015826423	0.33024506006750187
0.013	0.11352226370103144	0.10442934896992787	0.11059705261074318	0.08940641566395366	0.1341868982620224	0.045690028784102936	0.08959271392785427	0.07462389368453413
0.014	-0.13983657735001426	-0.14665343126500263	-0.13143290169178706	-0.14952622569609544	-0.14388337330468737	-0.1509722260160513	-0.1485700327686482	-0.15676283397196406
0.015	-0.3726626244425735	-0.3764845788603744	-0.35204428681101757	-0.3639310628313695	-0.39644396913741325	-0.3266914505907863	-0.36143628974290315	-0.3663473838192943
0.016	-0.5464411755044255	-0.5486791488273258	-0.5177583813190252	-0.5202346750371283	-0.5867155695187977	-0.44797202334083663	-0.5189362984436161	-0.519975867433749
0.017	-0.6327594244513101	-0.6316298531085397	-0.5991060345715868	-0.5928650311353435	-0.6829228940415019	-0.49512823341797546	-0.5918131638406611	-0.5905619233302125
0.018	-0.6385678644023478	-0.6348243479771175	-0.604416620328609	-0.5946453240123682	-0.6936528060621536	-0.4865591751039132	-0.5893621400938405	-0.5871571112534185
0.019	-0.5773932165430788	-0.5681633342938136	-0.5482728048035447	-0.5314585470931285	-0.6287108178936596	-0.4248632518979255	-0.5256543895203464	-0.5189984598717379
0.02	-0.44701935196718	-0.43467730559244744	-0.424373977787726	-0.40334379347074495	-0.4901147894417411	-0.3117861475813877	-0.3985996345751082	-0.3889579213537553
0.021	-0.25815146771208813	-0.24863717626946902	-0.2465302757534651	-0.22500479604394036	-0.2897229708058686	-0.1603225903562838	-0.22280038457211143	-0.21194420106851328
0.022	-0.06802309433712184	-0.059377722593220696	-0.06454516134238622	-0.0453601473568284	-0.08305911181123649	-0.01082307031514207	-0.046818300032230496	-0.03291279499835203
0.023	0.11921604994889362	0.13003310013677757	0.11385826492756504	0.12530258595575455	0.12034126650218287	0.12764536477154825	0.12434954694835369	0.13805613142813242
0.024	0.2784783275577556	0.2848532756297336	0.26500869281111866	0.2684259097229382	0.29428556790770655	0.23776513175986475	0.2659124842620567	0.2768090590622144
0.025	0.37564918694201654	0.37668627605849553	0.3571073455616638	0.3541559046697365	0.40457250680029716	0.29848919794516726	0.3514473885845718	0.35763841787635464
0.026	0.3988963295673985	0.39761119322239047	0.3796607818885952	0.3699075240636829	0.4346209522897002	0.3050328174175745	0.3689273517057943	0.3694702197636017
0.027	0.34885329057705294	0.345427924247468	0.3319556160279777	0.3210597993027092	0.3804411082892055	0.25712483745321735	0.3165728345603774	0.3164514838843323
0.028	0.2358627141689707	0.2326060325994441	0.21954703152898988	0.21153163202141742	0.25516015069804604	0.16045496255026284	0.2034327645360232	0.2019963305490565
0.029	0.057717706530685045	0.05193505381834297	0.05165657466853705	0.04130419889390621	0.06310138197284713	0.016222273547435283	0.03332364252199346	0.030705369224924686
0.03	-0.14010250727907061	-0.14729850987475535	-0.13556406618067765	-0.14346638655567287	-0.1467289244346176	-0.13534402673659485	-0.14834726412944882	-0.15166663776141096
0.031	-0.31853260320307114	-0.3238365877609176	-0.3065049439884525	-0.310272648449526	-0.3389309092060577	-0.26841737191232967	-0.3082443983246119	-0.3164591007369632
0.032	-0.4695874222463582	-0.4738940382356478	-0.4489462495332142	-0.44891939780469814	-0.5048014119648718	-0.38306835962353336	-0.44142112178442416	-0.4547895939065604
0.033	-0.5623426492419513	-0.5639647260768298	-0.5361612820356176	-0.5296424545582524	-0.6077972998547377	-0.4452010324740174	-0.5254995136048501	-0.5334392800146366
0.034	-0.5795819941226038	-0.5786841760434618	-0.5535752621288205	-0.5386062497951892	-0.6338650630465017	-0.4439492423951604	-0.5383921843488306	-0.5394123378759857
0.035	-0.5321381347643346	-0.5294390220095261	-0.5073268165650509	-0.4886018148528689	-0.5851478252494959	-0.3953352471337394	-0.48619064455381783	-0.4872474205849493
0.036	-0.4245143321348619	-0.4211059649827311	-0.4041194331884331	-0.38790179579810846	-0.46920058528835423	-0.304920512364607	-0.38376749342612404	-0.3780304455525057
0.037	-0.2592122997365756	-0.25938132493307686	-0.24923493047474105	-0.2304212174855409	-0.29349907572506656	-0.17422526264523513	-0.23378442963804327	-0.21981274632563597
0.038	-0.06496711204220879	-0.06600299796298456	-0.06276410893850247	-0.047425732215697014	-0.08045754281258348	-0.023809321181352427	-0.05578840215734614	-0.04292206646924718
0.039	0.12723752741638425	0.12804477331467148	0.12236503294667898	0.13081664074133975	0.13034827442206426	0.12137505039782163	0.12522737070785123	0.133924648222852
0.04	0.30233318601065445	0.3024244448045624	0.29208180872043094	0.2935863610727039	0.3254475147680568	0.25228861166103345	0.29029220363599184	0.2964171342417664
0.041	0.43645571191806326	0.43558720549102065	0.4168344527395802	0.41064105976517257	0.47350866655167634	0.3465202341680829	0.4132072096442266	0.41186116183872784
0.042	0.5037855916222047	0.5035824058499392	0.48231328560690034	0.4704550801720632	0.5510665057785555	0.3911163589354333	0.4742465334126547	0.4665739843487652
