Interval=	0.0005 s
ExcelDateTime=	4.5725805087146749e+004	3/9/2025 19:19:19.529479
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0.041	-4.081641	-3.860156	-4.271484	-4.225781	-3.469922	-4.419141
0.0415	-4.735547	-4.496484	-4.855078	-4.816406	-4.176563	-5.125781
0.042	-5.322656	-5.041406	-5.364844	-5.322656	-4.777734	-5.716406
0.0425	-5.677734	-5.34375	-5.667188	-5.603906	-5.146875	-6.064453
0.043	-5.565234	-5.171484	-5.540625	-5.435156	-5.051953	-5.913281
0.0435	-5.45625	-5.030859	-5.424609	-5.294531	-4.95	-5.765625
0.044	-5.224219	-4.753125	-5.192578	-5.020313	-4.717969	-5.480859
0.0445	-4.187109	-3.614063	-4.208203	-3.916406	-3.663281	-4.292578
0.045	-2.545313	-1.85625	-2.664844	-2.235938	-1.982813	-2.425781
0.0455	-1.135547	-0.3867188	-1.353516	-0.8367188	-0.5203125	-0.8296875
0.046	-0.09140625	0.6996094	-0.3761719	0.1898438	0.5941406	0.3621094
0.0465	0.8578125	1.705078	0.5167969	1.142578	1.624219	1.458984
0.047	2.242969	3.146484	1.803516	2.520703	3.055078	2.998828
0.0475	4.324219	5.301563	3.730078	4.580859	5.182031	5.298047
0.048	6.099609	7.108594	5.368359	6.296484	7.038281	7.270313
0.0485	7.108594	8.110547	6.285938	7.242188	8.135156	8.395313
0.049	8.082422	9.094922	7.182422	8.177344	9.179297	9.478125
0.0495	8.936719	9.952734	7.962891	8.985938	10.10391	10.42734
0.05	9.474609	10.4625	8.441016	9.467578	10.69805	11.00742
0.0505	9.991406	10.93008	8.894531	9.907031	11.22891	11.5207
0.051	10.10742	10.98633	8.985938	9.95625	11.36602	11.61563
0.0515	9.882422	10.71211	8.767969	9.703125	11.16211	11.34844
0.052	9.773438	10.56797	8.651953	9.573047	11.04258	11.19023
0.0525	9.295313	10.03008	8.191406	9.049219	10.55391	10.62422
0.053	7.927734	8.535938	6.904688	7.614844	9.151172	9.05625
0.0535	6.268359	6.771094	5.350781	5.934375	7.428516	7.161328
0.054	4.985156	5.435156	4.155469	4.672266	6.071484	5.698828
0.0545	3.948047	4.359375	3.195703	3.65625	4.957031	4.514063
0.055	2.893359	3.251953	2.218359	2.619141	3.828516	3.315234
0.0555	1.230469	1.51875	0.6820313	0.9667969	2.119922	1.480078
0.056	-0.9316406	-0.7136719	-1.307813	-1.163672	-0.1019531	-0.9035156
0.0565	-2.453906	-2.257031	-2.710547	-2.622656	-1.719141	-2.605078
0.057	-3.396094	-3.192188	-3.582422	-3.505078	-2.745703	-3.659766
0.0575	-4.380469	-4.190625	-4.492969	-4.454297	-3.800391	-4.756641
0.058	-5.097656	-4.904297	-5.150391	-5.125781	-4.584375	-5.551172
0.0585	-5.639063	-5.407031	-5.632031	-5.607422	-5.160938	-6.117188
0.059	-6.096094	-5.821875	-6.036328	-5.997656	-5.632031	-6.58125
0.0595	-6.050391	-5.719922	-5.983594	-5.899219	-5.610938	-6.514453
0.06	-5.860547	-5.491406	-5.797266	-5.68125	-5.431641	-6.278906
0.0605	-5.702344	-5.301563	-5.635547	-5.494922	-5.269922	-6.078516
0.061	-4.925391	-4.433203	-4.890234	-4.654688	-4.478906	-5.185547
0.0615	-3.367969	-2.742188	-3.417188	-3.033984	-2.872266	-3.403125
0.062	-1.814063	-1.107422	-1.96875	-1.483594	-1.255078	-1.638281
0.0625	-0.6503906	0.0984375	-0.8894531	-0.3445313	-0.01757813	-0.3128906
0.063	0.3304688	1.128516	0.02460938	0.6292969	1.047656	0.8191406
0.0635	1.501172	2.358984	1.110938	1.792969	2.285156	2.1375
0.064	3.434766	4.362891	2.886328	3.698438	4.253906	4.257422
0.0645	5.498438	6.482813	4.777734	5.698828	6.373828	6.532031
0.065	6.746484	7.730859	5.90625	6.858984	7.699219	7.910156
0.0655	7.716797	8.704688	6.785156	7.769531	8.743359	8.975391
0.066	8.715234	9.713672	7.695703	8.722266	9.808594	10.06875
0.0665	9.369141	10.35	8.286328	9.323438	10.51875	10.77891
0.067	9.945703	10.88789	8.796094	9.826172	11.10938	11.36602
0.0675	10.29023	11.17617	9.087891	10.09336	11.46797	11.69297
0.068	10.16719	11.00039	8.950781	9.914063	11.38008	11.53125
0.0685	10.04766	10.84922	8.820703	9.762891	11.27109	11.37656
0.069	9.783984	10.53984	8.557031	9.453516	11.00039	11.05664
0.0695	8.725781	9.369141	7.544531	8.321484	9.914063	9.836719
0.07	7.091016	7.607813	6.015234	6.648047	8.233594	7.980469
0.0705	5.68125	6.134766	4.703906	5.252344	6.767578	6.384375
0.071	4.601953	5.009766	3.691406	4.190625	5.617969	5.150391
0.0715	3.617578	3.976172	2.766797	3.213281	4.55625	4.025391
0.072	2.239453	2.538281	1.487109	1.842188	3.132422	2.496094
0.0725	0.1617188	0.3867188	-0.4324219	-0.2214844	1.001953	0.2039063
0.073	-1.620703	-1.434375	-2.077734	-1.954688	-0.8648438	-1.785938
0.0735	-2.615625	-2.422266	-2.984766	-2.875781	-1.947656	-2.903906
0.074	-3.557813	-3.375	-3.846094	-3.772266	-2.960156	-3.948047
0.0745	-4.391016	-4.211719	-4.605469	-4.559766	-3.860156	-4.876172
0.075	-4.925391	-4.721484	-5.073047	-5.030859	-4.436719	-5.445703
0.0755	-5.45625	-5.203125	-5.530078	-5.484375	-4.967578	-5.966016
0.076	-5.607422	-5.305078	-5.642578	-5.565234	-5.139844	-6.096094
0.0765	-5.417578	-5.066016	-5.449219	-5.329688	-4.967578	-5.867578
0.077	-5.294531	-4.914844	-5.326172	-5.185547	-4.855078	-5.719922
0.0775	-4.812891	-4.373438	-4.862109	-4.665234	-4.369922	-5.164453
0.078	-3.452344	-2.896875	-3.575391	-3.241406	-2.988281	-3.621094
0.0785	-1.782422	-1.128516	-2.017969	-1.557422	-1.276172	-1.729688
0.079	-0.4957031	0.2003906	-0.8261719	-0.2917969	0.06679688	-0.2742188
0.0795	0.5132813	1.255078	0.1230469	0.7066406	1.153125	0.8824219
0.08	1.529297	2.323828	1.079297	1.719141	2.246484	2.042578
0.0805	3.164063	4.025391	2.594531	3.346875	3.926953	3.853125
0.081	5.283984	6.208594	4.552734	5.435156	6.096094	6.191016
0.0815	6.75	7.688672	5.899219	6.834375	7.646484	7.822266
0.082	7.667578	8.602734	6.728906	7.688672	8.637891	8.838281
0.0825	8.651953	9.601172	7.618359	8.627344	9.678516	9.914063
0.083	9.362109	10.30078	8.254688	9.284766	10.45195	10.69102
0.0835	9.885938	10.79297	8.711719	9.738281	11.01797	11.22891
0.084	10.33594	11.19727	9.1125	10.11797	11.48203	11.68242
0.0845	10.31133	11.11289	9.070313	10.03359	11.48555	11.62969
0.085	10.12852	10.89141	8.883984	9.826172	11.32734	11.40469
0.0855	9.966797	10.6875	8.711719	9.632813	11.16211	11.20078
0.086	9.182813	9.812109	7.952344	8.782031	10.35352	10.30078
0.0865	7.632422	8.135156	6.486328	7.168359	8.760938	8.532422
0.087	6.124219	6.549609	5.069531	5.649609	7.185938	6.816797
0.0875	4.964063	5.350781	3.983203	4.496484	5.951953	5.494922
0.088	3.902344	4.232813	2.977734	3.43125	4.795313	4.278516
0.0885	2.692969	2.977734	1.85625	2.235938	3.522656	2.921484
0.089	0.8332031	1.047656	0.1441406	0.3902344	1.620703	0.8683594
0.0895	-1.142578	-0.9949219	-1.683984	-1.557422	-0.4324219	-1.328906
0.09	-2.330859	-2.186719	-2.777344	-2.678906	-1.712109	-2.661328
