Interval=	0.001 s
ExcelDateTime=	4.5725770529008507e+004	3/9/2025 18:29:33.706335
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0.081	-3.958594	-4.208203	-4.471875	-4.197656	-3.526172	-4.289063
0.082	-6.4125	-6.700781	-6.820313	-6.556641	-6.205078	-7.055859
0.083	-7.825781	-8.040234	-8.114063	-7.81875	-7.730859	-8.581641
0.084	-8.339063	-8.419922	-8.521875	-8.170313	-8.26875	-9.05625
0.085	-7.5375	-7.396875	-7.628906	-7.2	-7.414453	-8.040234
0.086	-5.129297	-4.672266	-5.146875	-4.605469	-4.833984	-5.192578
0.087	-2.190234	-1.458984	-2.190234	-1.546875	-1.655859	-1.750781
0.088	1.037109	2.007422	1.016016	1.747266	1.824609	1.965234
0.089	4.717969	5.888672	4.640625	5.445703	5.776172	6.148828
0.09	7.628906	8.880469	7.460156	8.293359	8.936719	9.442969
0.091	9.372656	10.57852	9.101953	9.910547	10.8457	11.3625
0.092	10.20234	11.28164	9.815625	10.575	11.72461	12.19219
0.093	9.878906	10.76836	9.39375	10.0793	11.37656	11.72109
0.094	7.864453	8.444531	7.287891	7.860938	9.210938	9.326953
0.095	4.858594	5.129297	4.236328	4.696875	5.948438	5.797266
0.096	1.666406	1.694531	1.054688	1.427344	2.478516	2.098828
0.097	-2.116406	-2.316797	-2.671875	-2.390625	-1.582031	-2.207813
0.098	-5.565234	-5.90625	-6.022266	-5.79375	-5.308594	-6.113672
0.099	-7.780078	-8.128125	-8.121094	-7.892578	-7.734375	-8.595703
0.1	-9	-9.246094	-9.210938	-8.954297	-9.059766	-9.885938
0.101	-9.200391	-9.291797	-9.305859	-8.989453	-9.291797	-10.01602
0.102	-7.787109	-7.611328	-7.794141	-7.372266	-7.794141	-8.321484
0.103	-4.925391	-4.426172	-4.876172	-4.33125	-4.717969	-4.971094
0.104	-1.796484	-1.040625	-1.747266	-1.107422	-1.321875	-1.328906
0.105	1.835156	2.837109	1.852734	2.583984	2.594531	2.819531
0.106	5.603906	6.785156	5.540625	6.342188	6.651563	7.080469
0.107	8.272266	9.499219	8.1	8.915625	9.555469	10.07578
0.108	9.812109	10.96523	9.523828	10.3043	11.21836	11.73164
0.109	10.38164	11.39766	9.980859	10.70508	11.82305	12.25898
0.11	9.551953	10.33594	9.052734	9.689063	10.94063	11.21133
0.111	7.024219	7.470703	6.454688	6.960938	8.226563	8.237109
0.112	3.905859	4.071094	3.336328	3.733594	4.848047	4.601953
0.113	0.4148438	0.3339844	-0.1195313	0.1828125	1.072266	0.5941406
0.114	-3.547266	-3.846094	-4.014844	-3.796875	-3.192188	-3.912891
0.115	-6.651563	-7.045313	-7.017188	-6.830859	-6.574219	-7.442578
0.116	-8.507813	-8.869922	-8.757422	-8.557031	-8.609766	-9.509766
0.117	-9.418359	-9.653906	-9.537891	-9.302344	-9.580078	-10.43789
0.118	-9.140625	-9.182813	-9.147656	-8.841797	-9.288281	-10.02305
0.119	-7.069922	-6.799219	-6.985547	-6.556641	-7.091016	-7.572656
0.12	-3.948047	-3.357422	-3.828516	-3.280078	-3.726563	-3.923438
0.121	-0.6503906	0.1828125	-0.5484375	0.084375	-0.1511719	-0.1160156
0.122	3.237891	4.317188	3.294141	4.018359	4.035938	4.313672
0.123	6.788672	8.015625	6.753516	7.526953	7.882031	8.339063
0.124	9.073828	10.30781	8.929688	9.696094	10.38516	10.89844
0.125	10.32188	11.45391	10.05469	10.78242	11.73164	12.2168
0.126	10.51523	11.48555	10.14961	10.81055	11.94609	12.3293
0.127	9.063281	9.759375	8.616797	9.165234	10.40625	10.57852
0.128	6.127734	6.486328	5.635547	6.046875	7.238672	7.133203
0.129	2.903906	3.002344	2.422266	2.735156	3.740625	3.385547
0.13	-0.7980469	-0.9386719	-1.2375	-1.019531	-0.2390625	-0.8507813
0.131	-4.6125	-4.942969	-4.971094	-4.826953	-4.352344	-5.189063
0.132	-7.305469	-7.685156	-7.551563	-7.425	-7.298438	-8.230078
0.133	-8.841797	-9.151172	-8.968359	-8.810156	-8.971875	-9.9
0.134	-9.386719	-9.555469	-9.407813	-9.196875	-9.566016	-10.4168
0.135	-8.521875	-8.469141	-8.451563	-8.149219	-8.666016	-9.348047
0.136	-5.930859	-5.540625	-5.783203	-5.350781	-5.888672	-6.3
0.137	-2.735156	-2.053125	-2.569922	-2.028516	-2.41875	-2.569922
0.138	0.7382813	1.662891	0.8789063	1.508203	1.335938	1.427344
0.139	4.675781	5.814844	4.756641	5.463281	5.56875	5.902734
0.14	7.808203	9.045703	7.797656	8.535938	8.982422	9.457031
0.141	9.692578	10.89492	9.569531	10.29375	11.04258	11.5418
0.142	10.60313	11.67891	10.36758	11.03906	12.01289	12.46641
0.143	10.32188	11.2043	9.987891	10.57852	11.71406	12.04102
0.144	8.261719	8.83125	7.850391	8.314453	9.513281	9.601172
0.145	5.132813	5.382422	4.696875	5.034375	6.127734	5.944922
0.146	1.828125	1.828125	1.413281	1.655859	2.538281	2.126953
