Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,Ch 9,Ch 10,Ch 11,Ch 12,Ch 13,Ch 14,Ch 15,Ch 16,Ch 17,Ch 18,Ch 19,Ch 20,Ch 21,Ch 22
1.7510277505064284,2.5414614193357266,3.3882507769614514,1.0723136310416486,2.790219027967836,0.0780194678653367,2.9526940803925785,-10.916051781412476,3.382950174488029,3.6794193417298544,2.0233412602018537,2.9908384563965127,3.624326307308391,2.5225248198355232,2.543174730622131,2.255503891106573,94.183998,-607.072021,-783.728027,4060.0,-420.0,-420.0
17748.603213525457,-10866.914885456732,23571.12338645795,46636.77982739569,-32221.24269652524,9592.34730256707,31399.88456542767,-14263.068391526407,-53914.8732927526,15890.408595099963,41554.03506515274,27631.06356233676,-15090.348208273212,44842.38483718092,24091.526796929287,-18392.727237822608,94.183998,-607.072021,-783.728027,4200.0,-700.0,-420.0
14029.744603477857,-8636.682730783778,18628.96318025492,36896.855707668496,-25544.15192334258,7879.03037987896,24702.474269730337,-11326.294963905271,-42696.61079853687,12557.62697377344,32869.28762224039,21847.877552853304,-11970.71800809881,35486.424222611524,19043.12547314841,-14600.625754848654,107.848,-617.320007,-779.335999,-1540.0,-2100.0,-1540.0
-5211.78192151963,3112.6939576912755,-6926.833664704254,-13641.653031722966,9337.13006575671,-2324.902013076357,-9416.637747714643,4094.558957355157,15699.938718090358,-4671.425088977218,-12165.184733269987,-8102.769972287723,4360.408524200116,-13101.022635489806,-7075.071903604435,5297.498776394788,107.848,-617.807983,-777.872009,-1540.0,-2520.0,-1540.0
-15844.003048317103,9682.973410570909,-21043.497457674835,-41619.68659032501,28734.91255835193,-8496.759653346116,-28056.56596510975,12714.235185005888,48094.88075872989,-14188.666922219316,-37086.03958178415,-24663.834630503512,13452.35514981968,-40017.21046994634,-21506.30094470177,16396.684883023852,106.384003,-613.903992,-779.824036,-1820.0,-2800.0,-1680.0
-7220.324490412239,4512.012588493487,-9584.095185684408,-19032.86265847385,13252.41215260213,-4547.122811145422,-12515.933846089934,5924.463489633087,22079.63858915432,-6462.251152075286,-16946.852939656565,-11254.281498139706,6217.074570052261,-18323.44836890752,-9799.784181577894,7604.874586167661,106.872002,-618.296021,-775.919983,-2100.0,-3360.0,-1540.0
6870.8038427654565,-4091.259615398326,9132.172406137586,17976.407308755883,-12289.709403178218,2993.132915319331,12443.125259727063,-5372.044616756489,-20676.66458760041,6158.859895947696,16031.95509691214,10679.844110063896,-5737.431354019606,17260.839106048923,9327.108006910468,-6967.535794548361,102.968002,-619.272034,-780.799988,-2240.0,-3640.0,-1400.0
9450.83781023446,-5775.484861639023,12553.614703190964,24824.677476609933,-17138.86429564945,5167.435023235605,16695.46420298309,-7589.944588939597,-28678.02241053188,8468.419304337722,22120.435380197738,14712.461423217768,-8018.384828408131,23874.16388828385,12828.07508158544,-9782.760362691171,101.992004,-618.296021,-777.384033,-2380.0,-3640.0,-1400.0
1462.3167503098282,-1001.5095606641628,1937.264746648969,3912.247091261677,-2822.750659477645,1587.2662724028714,2267.993943218956,-1326.625142029451,-4608.294523366073,1309.2860894743685,3472.263395432307,2293.031372646167,-1331.78414817646,3791.322719016881,1983.9102574541844,-1659.4291109546666,102.480003,-621.712036,-778.359985,-1960.0,-3220.0,-1260.0
-4255.9987444420085,2500.7769073629725,-5658.932873761948,-11112.637633290196,7558.888333063365,-1676.9517668843475,-7778.4038364120115,3278.8790539945667,12748.219308972286,-3818.325498319821,-9914.729469159074,-6610.42523642229,3522.036564454005,-10664.331028944522,-5777.445360129044,4272.349406172807,101.503998,-621.712036,-779.335999,-1960.0,-2380.0,-1260.0
