Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,Ch 9,Ch 10,Ch 11,Ch 12,Ch 13,Ch 14,Ch 15,Ch 16,Ch 17,Ch 18,Ch 19,Ch 20,Ch 21,Ch 22
-1.4897753902594344,-2.2549730967023667,-2.415038404735675,-2.2916189430624385,-1.6844934344178704,-1.7721695591782423,-1.4145058362016494,-2.4209558352171703,-2.741861262067606,-2.5367067850590193,-2.0234406956498097,-1.8009918507957714,-2.616230174082376,-2.061280844488536,-2.131747478408827,-1.7330666134765016,104.431999,-587.552002,-797.880005,1120.0,-2660.0,-1260.0
12522.216204914397,-30241.512695749625,27115.87151650209,39144.587175801804,18833.351442026793,16260.08097821144,36446.34979517789,-35840.85069984902,-9879.265338841054,-23617.052724271438,-10342.422659153186,-45298.16333562085,8259.045037511823,18918.45832825155,-41841.86708238436,-33090.709798472395,102.480003,-588.528015,-800.807983,1260.0,-2520.0,-1120.0
11218.372245737239,-27043.286787393146,24285.632238800525,35048.83029364955,16867.69307954506,14565.762550410695,32626.818306734887,-32052.566402142704,-8817.56992520154,-21112.885409259266,-9238.043285954947,-40520.92050532513,7412.856912477842,16947.04053474748,-37425.159769045094,-29597.328789575284,102.480003,-588.528015,-800.807983,1120.0,-2380.0,-1120.0
-1566.2321423920114,3869.0994719296805,-3403.593805897576,-4930.983686816478,-2363.8140137842515,-2035.9819080356833,-4601.778079247274,4581.7890174313,1293.5792732526409,3032.9897374366824,1341.8024924847844,5772.103935267301,-1008.8862208826642,-2369.020322303323,5338.653201013711,4222.822700306306,99.064003,-585.600037,-800.320007,3920.0,-700.0,-2240.0
-11075.752091705512,26779.386623961844,-23987.999381052203,-34635.46945555921,-16660.824925452755,-14382.635514041329,-32251.89106197035,31736.374847043237,8758.905399805006,20917.41265420393,9165.083907858025,40103.92200110387,-7296.361565283804,-16734.145067485562,37046.45924061397,29298.5234378079,99.064003,-585.600037,-804.223999,3920.0,-1260.0,-2520.0
-8060.842374058736,19380.597736285064,-17443.08891679452,-25163.35918365532,-12115.2583957068,-10464.732812508233,-23418.173300030507,22972.687457527696,6301.611361902312,15123.81299492811,6609.478193047601,29053.14557198816,-5340.662788591805,-12175.477751306376,26829.403736087297,21217.345944144847,98.576004,-582.184021,-803.736023,4060.0,-1820.0,-2800.0
1908.2604194948944,-4743.09622616577,4150.894685906888,6019.532678417983,2882.7746857840643,2481.3694333296994,5621.2078353783945,-5615.55996557669,-1595.5191847715453,-3721.8747755569407,-1650.9966078618163,-7068.313490923791,1221.095806194191,2887.2941212301025,-6539.814622676353,-5173.166387581284,100.040001,-586.575989,-799.832031,4060.0,-2240.0,-2940.0
7410.220406446304,-17939.037127079897,16052.24377652211,23181.833701818327,11149.025289114548,9623.283269884692,21589.230340109294,-21258.68214773501,-5875.0664925109795,-14015.15146611543,-6144.305199451621,-26858.900928164152,4875.400676402117,11196.680237390292,-24813.007347471677,-19623.77397395907,99.064003,-586.575989,-802.272034,4060.0,-2240.0,-2940.0
4694.957420600745,-11241.868362252753,10153.131633935383,14637.534783199528,7052.036986376622,6093.900339239481,13616.651522422368,-13327.46213527347,-3639.4381021580825,-8766.573029149193,-3823.920010687518,-16865.006649026847,3123.473437706265,7090.011211076822,-15570.420964574463,-12313.069534464785,97.112,-586.088013,-803.247986,3780.0,-2240.0,-2940.0
-750.900981895983,1950.108699710159,-1645.016731359368,-2402.43945490827,-1142.3054921616324,-978.5729840560045,-2253.7016734507956,2305.3551862972167,683.8113895971128,1540.9629066157079,696.2626434647044,2884.193517322584,-457.1872276331283,-1138.8275040292979,2675.1183411061047,2116.7875784805588,100.040001,-587.552002,-800.320007,4060.0,-1960.0,-2800.0
-3151.931460955685,7656.918179841237,-6831.505563869745,-9871.081587794206,-4744.745526830781,-4093.9289458133767,-9196.212038420848,9072.71524836675,2516.716137854762,5985.578036516231,2628.266736359398,11457.03958336665,-2066.351839356014,-4763.346546843629,10586.470328085368,8372.713092476224,97.599998,-586.088013,-802.272034,3920.0,-2240.0,-2240.0
-2374.305997970665,5662.340658044078,-5131.411831535494,-7393.191799349007,-3564.14805795556,-3081.1635850693533,-6874.739859515652,6713.803979860325,1825.2418480382007,4412.532388997685,1921.108077950641,8500.826287656333,-1585.9495517879154,-3584.784374040128,7846.443832383083,6204.766238327769,98.576004,-589.504028,-802.272034,3780.0,-1820.0,-1960.0
