Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,Ch 9,Ch 10,Ch 11,Ch 12,Ch 13,Ch 14,Ch 15,Ch 16,Ch 17,Ch 18,Ch 19,Ch 20,Ch 21,Ch 22
-1.9290409184766484,-2.793375936196772,-3.1023243072140305,-2.5080725980734626,-2.907913450938657,-2.4657340549810485,-3.0073962702572445,-6.114128151345491,-3.1077426042645677,-3.101101010426631,-2.6186155120349133,-2.6549126524095112,-3.1812562213372013,-2.8462934159032702,-2.798696438491932,-2.8804692768300773,54.167999,-642.695984,-761.280029,1260.0,-840.0,140.0
1242.8634715197056,-526.1137335651792,-38229.45927110777,-23004.290526426317,-33770.981310972056,-39671.57711464101,-33576.73336296108,5268.414476572229,-607.0927883564112,-15031.254182927156,-30129.177243161765,6886.7419331143465,15875.701781683249,24872.268906226043,-34898.94331115628,-27592.192983265704,51.728001,-643.184021,-764.208008,420.0,-1960.0,-420.0
1145.9084485511737,-448.1091519330169,-34189.490532861986,-20548.299144037344,-30190.53637403266,-35452.55532539317,-30020.13152608421,4775.75957548744,-515.1102620894202,-13428.668311123707,-26925.092420174988,6192.670338876277,14220.029904388266,22276.879824335403,-31214.05055286846,-24682.04939194129,51.728001,-643.184021,-764.208008,420.0,-1960.0,-420.0
-103.53403354378524,101.7829518430452,4880.5471877173895,2978.9679090347736,4330.813741834856,5111.833917604673,4300.396061535031,-558.4842408329181,120.08734673925072,1939.9360310384063,3880.0527984464434,-827.0357351047332,-1995.4401008976968,-3125.4488552182183,4450.617274208767,3512.880976625129,37.088001,-634.400024,-773.968018,4340.0,1260.0,1820.0
-1094.5226397713054,467.9928813904826,33838.473501067696,20370.238855810057,29895.300992558743,35127.31049591216,29722.479379185035,-4620.283456911588,538.6955445707493,13304.274715401418,26673.85794947533,-6093.311740381248,-14054.357431848288,-22013.944956724037,30890.840593934725,24422.13188978436,33.672001,-633.911987,-772.504028,4200.0,1260.0,1820.0
-869.6178008799963,290.7550373755728,24498.36882507765,14689.75424688973,21616.559156899388,25367.182392702565,21499.355767767905,-3489.381901520585,329.99449109286024,9602.18349638279,19264.393174523164,-4484.935848896122,-10219.172223977108,-16007.134116545118,22371.41867468735,17695.336438921706,35.624001,-633.911987,-769.088013,4340.0,1540.0,1680.0
116.50865244394063,-128.70819817840444,-5971.3822783326605,-3656.2633430738506,-5303.74077681514,-6270.729663638689,-5265.006153720888,641.5650942445883,-151.288953195284,-2374.4881552873885,-4755.771371619074,1005.4223388560096,2442.4557117346003,3820.021079930956,-5444.987486158652,-4295.471285686298,33.672001,-631.960022,-769.088013,4480.0,1260.0,1680.0
747.8600545455171,-300.876844279404,-22642.986670313545,-13627.062569612084,-20001.584897491764,-23508.03944589856,-19886.8505723139,3058.045296168604,-342.2119645800349,-8891.086462056515,-17843.251375902546,4097.91420984891,9424.414706927597,14752.07160337811,-20673.61713976408,-16344.982405084298,34.16,-631.471985,-771.528015,4340.0,1260.0,1680.0
551.7951983470539,-138.66686944756444,-14204.9540006332,-8484.507360553162,-12518.124094326904,-14674.1238582133,-12454.870484127498,2086.301139589437,-152.60891268083722,-5547.632668049029,-11142.212063226834,2647.588579682816,5955.37174552028,9325.890302070156,-12976.670908061838,-10269.545257949228,35.136002,-632.447998,-772.015991,4760.0,1680.0,1540.0
-15.428243319392513,68.79943410648619,2427.5146801203528,1518.3011602200495,2169.991408335068,2591.5264203065108,2150.238546085942,-144.40063426622345,79.57515520388836,971.8331360072236,1956.9092250627848,-384.3527893094644,-987.0339587017794,-1532.908250417882,2212.123947054365,1739.9343083394836,33.184002,-633.424011,-770.064026,4480.0,1680.0,1680.0
