Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,Ch 9,Ch 10,Ch 11,Ch 12,Ch 13,Ch 14,Ch 15,Ch 16,Ch 17,Ch 18,Ch 19,Ch 20,Ch 21,Ch 22
-2.515056156607661,-3.397128598626272,-4.316900878178622,-1.841546925131928,-3.659202272989084,-3.023637583589292,-3.0257025170134497,-2.941300490476685,-4.0537862913262375,-4.319871912538371,-2.2860165972958573,-3.369201080781117,-4.292141123987598,-2.9836282031466546,-3.001130007213533,-2.843642006710209,97.599998,-584.624023,-805.687988,5880.0,-1120.0,1260.0
49460.07595802465,-7091.313767069976,19064.07983305216,37890.23650010002,53367.283134335485,-7884.185851028321,24753.87059776122,-2535.074377796902,-30775.398225733505,-52393.50585916873,-39878.53705573288,-26786.247852340905,-29813.09096406169,42067.30225782764,-15036.161382915472,21416.07344886285,97.599998,-584.624023,-805.687988,6160.0,-980.0,1400.0
39185.110526782686,-5584.775036981352,15121.113203032086,30029.43578893226,42284.21704131603,-6561.796669415138,19765.474752956936,-1979.410553603229,-24308.46240201048,-41439.657913538496,-31551.721806855723,-21180.047158272195,-23577.18738048596,33343.94267418032,-11882.597514119883,16990.60399567861,65.879997,-691.007996,-719.312012,5600.0,-700.0,1120.0
-14377.433447587762,2114.065080743425,-5515.251726237436,-10996.74653163263,-15508.03459267443,1765.0497499712649,-6941.05147076325,782.8052330074277,9064.167258303012,15340.824473405975,11659.523827636196,7852.512764158936,8732.732889862997,-12202.853034215164,4417.771822237995,-6187.928409295641,66.368004,-691.007996,-720.776001,5460.0,-700.0,980.0
-44123.12056534021,6332.122441548159,-17004.935831859577,-33799.52125919729,-47608.6162665688,6960.134511777426,-22048.60475834645,2266.603199655462,27468.79526120676,46753.50578913715,35583.91991992549,23904.547306248194,26603.53286615425,-37524.83306300798,13418.986995958736,-19101.611447629,65.879997,-688.080017,-716.872009,5740.0,-420.0,700.0
-20295.536901804,2842.197520665555,-7857.109936056543,-15570.538402563425,-21905.67745779749,3926.232149719624,-10490.128569421351,981.0698674116886,12475.380842327108,21357.25232206872,16278.658155603864,10907.975011858887,12148.667813643517,-17294.921746680313,6110.177199258923,-8837.44059689816,65.879997,-688.080017,-723.216003,5880.0,-420.0,420.0
18934.50956957937,-2786.693452165352,7264.03955567106,14480.643110301393,20424.17778395455,-2240.214009072189,9105.814232594352,-1033.1242418912125,-11947.080180541854,-20210.83365769811,-15358.50483564913,-10345.632013735045,-11502.855162936085,16068.438797711722,-5819.4169841299945,8147.04202088687,66.856003,-687.59198,-721.752014,6020.0,-280.0,140.0
26327.537731251163,-3764.497064174262,10156.350578774976,20170.85304480833,28409.95252274703,-4253.364651155353,13207.733684113357,-1340.064616503632,-16361.254697200506,-27869.974088696083,-21217.409567804243,-14248.78859920862,-15855.75339437337,22395.963191716142,-7994.652230885882,11408.988537605934,65.391998,-685.151978,-721.264038,6020.0,140.0,-140.0
4279.867034897874,-533.2071398264466,1690.770134802225,3304.316896475614,4625.997599178569,-1539.0860744200868,2550.44297692648,-149.03712295836112,-2477.811964481014,-4363.114682213388,-3352.059432401109,-2218.666855935947,-2478.914173284886,3679.130816863889,-1231.3049530140484,1912.934082498396,68.32,-683.200012,-720.776001,6020.0,0.0,-420.0
-11673.927069509982,1727.6319656718822,-4477.746482396851,-8923.515147976745,-12593.462365312816,1177.6282825918622,-5526.134921796813,644.7618694190053,7394.908275362295,12485.250467547492,9482.101561281605,6393.118632034301,7102.261227782749,-9900.381680022876,3594.801481930243,-5016.554059322992,65.879997,-689.05603,-720.776001,6020.0,-280.0,-420.0
