Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,Ch 9,Ch 10,Ch 11,Ch 12,Ch 13,Ch 14,Ch 15,Ch 16,Ch 17,Ch 18,Ch 19,Ch 20,Ch 21,Ch 22
1.066724407786118,1.1976299560367485,0.7769247495870251,1.6093599423663552,0.7938046216508061,-1.8614244658479246,2.1652752766134853,1.382190064286498,0.7650672506728764,0.8016423717326204,1.645915537791053,0.8990886215262606,0.8211301324793641,1.0495672078652571,0.9320677729204907,1.2281243490628446,64.416,-729.559998,-683.687988,2660.0,-3500.0,-420.0
-3516.71021713855,48679.182186546386,-12646.470138123404,-18122.06415908072,-38215.92656807781,-22196.40144579695,-7263.47070360651,27715.91830094233,-45256.985854912724,10588.690818703913,-44394.64268775901,5365.057495297192,5130.2210267778955,-49633.662356736066,11806.51670017798,33552.37805903946,64.416,-729.559998,-683.687988,2660.0,-3500.0,-420.0
-2764.2345405138503,38574.739123494604,-9974.23581601979,-14336.03020615086,-30231.13730055512,-17419.64180864198,-5778.939929297588,21972.22548646998,-35800.120894991276,8424.005896617986,-35138.080997183795,4276.243836104228,4102.14629639536,-39277.66469914631,9374.008580835165,26592.425346261916,61.487999,-706.135986,-709.064026,-3920.0,-8820.0,-420.0
1060.0855157479534,-14133.296547396601,3752.8342088543354,5303.940737224797,11185.604697245042,6733.616732789097,2070.3321999259556,-8030.698762690291,13247.813146490475,-3017.2201876738613,12961.531812858206,-1514.7900204456002,-1426.2834635058514,14502.78636290251,-3396.430054767596,-9733.34867758731,59.535999,-705.160034,-710.039978,-4060.0,-8680.0,-140.0
3144.794864793395,-43421.04622860636,11296.905216324023,16172.401365933314,34106.459941459536,19859.69873357576,6470.3335668653335,-24719.217517177953,40390.25270581997,-9433.269522815972,39613.66345601812,-4776.6337162762,-4563.298078959123,44290.951428075656,-10524.83985575952,-29926.440912482467,60.024002,-703.695984,-709.552002,-4060.0,-8540.0,0.0
1396.1066326249422,-19996.07511748255,5094.814039719297,7389.911779869716,15586.84451363525,8766.480397835305,3028.7127164995486,-11405.614406205597,18456.56563208961,-4419.673185015408,18145.802891689393,-2256.5279352741113,-2185.3116867036415,20273.40787879458,-4888.681698286396,-13792.442179888054,60.512001,-705.64801,-712.968018,-3920.0,-8400.0,140.0
-1403.6178004819008,18604.97281535878,-4956.1286851387595,-6991.0207571035235,-14742.80745004907,-8918.58725057592,-2719.338720782065,10568.254532798534,-17460.80335372022,3960.7131129419545,-17077.75339846099,1985.373338374496,1865.1846387725354,-19110.187327910917,4464.63553654649,12811.01495914261,57.584,-704.184021,-711.504028,-4060.0,-8120.0,560.0
-1874.3575796367459,25904.551966936022,-6735.627976013492,-9644.655998291146,-20343.58230186988,-11838.249609689907,-3860.6603628470993,14748.716236897071,-24090.734076793215,5630.436103680226,-23629.15135563335,2851.3281309016043,2725.685656220482,-26418.618126535675,6280.538636757852,17853.973217382565,58.072002,-705.64801,-712.968018,-4060.0,-7700.0,1120.0
-248.17201678298477,4238.286554971667,-981.2956345779505,-1512.4725417708876,-3194.2620158380387,-1513.5632842975588,-685.8775908743773,2438.0157096335115,-3779.91112955321,1005.92933308471,-3756.922911072719,530.1331173848165,540.2632336902465,-4183.694280441081,1074.6513033288286,2933.302196980641,60.024002,-702.720032,-714.919983,-4060.0,-7700.0,1260.0
881.8987071941909,-11455.601897459528,3087.707649152142,4323.207613790314,9118.037734336584,5620.285004753525,1657.5787363637926,-6500.190474047293,10799.248919869464,-2413.2669643886175,10547.790680068027,-1203.0493649133143,-1120.2945336709465,11808.069520769288,-2734.813845440375,-7884.209209389628,57.096001,-703.695984,-711.504028,-4060.0,-7420.0,1400.0
472.99984075569085,-6581.235699019937,1703.6056551766235,2444.58953478422,5160.916171584799,2984.6673393551227,983.7109451787596,-3749.3222699530947,6109.805507866072,-1435.7432662476567,5996.522487314077,-727.6467708960967,-698.9092270881695,6702.91999218271,-1598.571110395169,-4536.2746208254375,56.119999,-702.231995,-710.528015,-4480.0,-7280.0,1540.0
-168.52420175682892,1728.6518021939378,-540.1828954962483,-692.7990255570583,-1457.6752894308004,-1108.7056636398445,-215.7835996399497,965.4729284728164,-1729.1529381161708,311.8763460279851,-1657.8740097965604,142.84022000722953,110.48580341775482,-1866.969337621827,383.6369311333969,1182.460899119374,56.608002,-701.744019,-714.432007,-4900.0,-7140.0,1680.0
18.372498478821097,-724.515940589151,118.57922680939923,233.67451699108705,490.7782352123739,81.38065745432824,140.7582179859577,-426.08101121418775,580.7096788508553,-206.68081003085314,598.1167556685657,-117.16962402625136,-130.6237675272946,658.9897267039886,-202.98831029019743,-506.7602521489005,56.119999,-703.208008,-715.40802,-4900.0,-7280.0,1960.0
359.4936174990404,-5003.911859977845,1298.2274955826015,1862.545906779241,3924.722985229911,2274.898827012633,745.7226567351298,-2849.0223334291127,4650.097775082676,-1089.4179049283232,4560.1192741416,-553.4695325761322,-527.6778489515766,5099.585542789798,-1214.2815526999095,-3449.778303205693,53.68,-706.624023,-711.504028,-4900.0,-7140.0,2100.0
-26.073271295467194,559.6655947792841,-113.38922330355989,-192.0254287033616,-405.17526716180373,-138.68989963690584,-101.35081736524656,324.85670236524624,-477.5170267354216,144.70307322453428,-483.95435018010767,77.9224783957284,85.02402731050857,-534.7343821536722,148.32273765446922,388.56808874456,53.68,-709.064026,-708.088013,-4760.0,-6860.0,2100.0
-635.0371542551366,8991.345330614073,-2306.3674107766396,-3331.701197952066,-7025.526415625271,-3995.3028305161874,-1354.8607685030586,5125.195469589377,-8319.883045055054,1976.4894014925576,-8173.092950475774,1006.7903931525366,970.401413434055,-9133.768179070257,2192.2239369763843,6200.455098160542,55.632,-709.552002,-708.575989,-4620.0,-6720.0,2240.0
-462.4461203910246,6606.855145045254,-1689.3075727904475,-2443.3556371212653,-5154.570581467258,-2923.9108184668103,-992.8167636351858,3767.840735006341,-6106.0260687847285,1455.4194218517641,-5997.182584648336,743.4014216038499,715.9559974589922,-6703.939207659688,1612.868061153042,4557.192678723107,57.584,-710.039978,-708.088013,-4760.0,-6440.0,2100.0
325.87607713720973,-4338.371555132705,1149.5124316648935,1628.5564406003512,3432.698973729618,2051.098555325657,641.9505839902348,-2465.0327856345734,4063.5703296200763,-928.510613548374,3980.188155786049,-465.3761863903896,-440.88851034342593,4450.561044148174,-1043.4264057433363,-2987.289608734062,54.656002,-708.088013,-706.624023,-4620.0,-6440.0,1960.0
657.4659264188816,-9164.098732782224,2371.85282609678,3405.1771346446217,7184.331166096608,4151.963471680406,1369.2538091124552,-5220.266089041636,8507.750996820458,-1999.2353663370807,8348.402819714409,-1014.4670265744954,-972.3166499749613,9333.170898323255,-2225.887973550016,-6317.141980246744,56.608002,-707.112,-707.112,-4620.0,-6720.0,1680.0
182.04796978082396,-2874.7232119035934,697.8372085518288,1040.4784833558342,2200.3746603783065,1150.1536168487366,443.7862131352281,-1648.1239914781595,2606.594031412739,-658.7356646391675,2572.784265943745,-343.3611719661511,-339.69473155057466,2872.8824370823572,-716.2424239434579,-1986.9440215068182,60.512001,-704.671997,-700.768005,-4200.0,-6720.0,1540.0
-334.93914226393116,4295.5690828147135,-1163.5274680896312,-1625.4659849230918,-3427.101433494293,-2122.054547836096,-623.3466617569895,2435.9101338810756,-4057.3870874029903,901.3370004874484,-3963.5290192541947,447.1925177669715,416.4859604461956,-4435.762323081489,1023.0335497731639,2955.0573801718315,59.048,-702.231995,-704.671997,-4480.0,-6860.0,980.0
-272.62692558078004,3798.431768136355,-983.6337216072372,-1408.9718815148635,-2978.6840233883954,-1730.7826365371059,-564.1517076566715,2164.9203243672187,-3526.622300508013,827.7968809566123,-3459.4743267651947,419.61608826828063,402.32947881069174,-3868.4546850517636,922.1806114785136,2618.001744666676,58.072002,-706.624023,-707.600037,-4760.0,-7560.0,840.0
37.22456328723055,-164.75824467215935,91.90648505540027,91.33905902600671,185.35247790137876,235.72121979650393,9.214490157370196,-82.34978369761649,219.5488823330929,-2.180837312070184,198.74693927507099,8.12667624499481,19.954835645175233,226.32922460477792,-20.76295795572678,-108.14857129437891,58.560001,-699.304016,-708.575989,-5320.0,-8820.0,700.0
50.56377909927806,-394.2332500112959,145.63834460436428,169.31844838377,359.157783627741,332.2966389707399,40.86768289453526,-216.18750225906905,424.2928840025376,-55.41702018420947,400.3210172868672,-19.474896627484213,-8.294461131813641,452.38680784619146,-78.39678837430688,-266.48357329045166,59.048,-703.208008,-711.504028,-5740.0,-9940.0,280.0
-110.92916932961454,1545.5032961389104,-399.769715148184,-578.5663627195547,-1210.8068507046016,-686.6258345779833,-235.93087603933412,878.4266162986244,-1435.350655644371,338.03939818036116,-1409.7936344660204,172.1934896788046,164.36416379049783,-1574.926869383699,375.69748063051753,1065.8893033077572,56.608002,-702.720032,-712.968018,-6720.0,-10500.0,280.0
-17.667848516763403,49.484528620867756,-40.220565165956664,-35.68141859230663,-69.8844280596485,-110.51654974456235,0.7095192407877953,21.665158493661018,-83.28049662818002,-8.066091088287846,-72.37459752947319,-9.104726236033896,-15.928655802168207,-83.35119236172551,1.0757755536496412,31.02180834016857,54.656002,-704.184021,-715.895996,-7280.0,-10920.0,0.0
