Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,Ch 9,Ch 10,Ch 11,Ch 12,Ch 13,Ch 14,Ch 15,Ch 16,Ch 17,Ch 18,Ch 19,Ch 20,Ch 21,Ch 22
-2.692813526608039,-3.849826164856619,-4.472799321997206,-2.8004547837305296,-3.9415789155387433,-2.0458089298796667,-4.152548948257608,-0.050658782584150686,-4.515383809256477,-4.559336341734845,-3.2141782452371577,-3.7924565895426756,-4.750235285527243,-3.829278377775662,-3.861177153407999,-3.8668093973346145,80.520004,-688.567993,-721.264038,-5040.0,-4620.0,-1540.0
-24034.047419716655,42977.7906516129,-7046.181803741208,40236.838445577145,-26094.617855762466,-19126.948420568067,-24652.199587327552,-29312.595336593375,-12664.357821821115,10381.542727856906,1497.495772276926,27096.655270616615,-35328.72650165512,-30569.755329317242,21644.538580958342,-19180.282558391285,80.031998,-686.616028,-719.799988,-5040.0,-4480.0,-1680.0
-21493.819783517978,38460.90294673581,-6297.946027701332,36018.94254567932,-23341.398034539037,-17077.930004579383,-22054.636369507054,-26162.005013496397,-11322.963070114498,9300.14176967541,1359.7132117474093,24257.610434440092,-31602.5715908671,-27339.07231295709,19374.483905081437,-17155.959231542805,81.984001,-686.616028,-722.728027,-5460.0,-4620.0,-1820.0
3070.3209275075783,-5451.672059825825,903.344106640632,-5084.025646267747,3324.2640296871327,2492.4094166649616,3134.0475892011063,3840.6231675714935,1620.2350212327528,-1302.6728341940611,-157.53506613840673,-3422.5788334107024,4498.269754527518,3904.1416665487745,-2738.612311283911,2443.661733250645,80.520004,-647.088013,-752.984009,3920.0,1820.0,-560.0
21278.235128156408,-38041.32630250448,6237.564400990567,-35609.25195575799,23099.50810979888,16948.542880927103,21820.695038244896,25981.408391458575,11211.17887961748,-9186.536159279416,-1317.017795600904,-23980.264222977687,31272.27993903422,27063.572600292682,-19156.939190325284,16978.257289927613,84.424004,-649.528015,-752.984009,4200.0,1960.0,-280.0
15404.73343121021,-27587.812197314008,4513.204064526971,-25851.284508790788,16736.244355719944,12204.837630920129,15818.637683957299,18680.013057573065,8114.586801082086,-6679.424515140018,-996.8378131906447,-17409.28677298478,22660.02490238673,19594.587299526207,-13900.956680754487,12301.331209777654,82.472,-646.600037,-756.400024,4340.0,1960.0,140.0
-3759.368485537059,6671.797678507518,-1102.626176946912,6213.92742317472,-4065.852991907717,-3069.382756015614,-3830.421767702035,-4740.616915471965,-1980.5676784221403,1593.7826428124774,185.0451534499041,4184.982451412906,-5500.949177395718,-4779.065881042979,3351.3860980716827,-2987.448985112907,83.447998,-649.039978,-754.447998,4480.0,2100.0,280.0
-14247.263273204442,25472.37695039682,-4173.493228737336,23841.25115524199,-15464.984606943632,-11355.112930292711,-14607.93011516369,-17411.811276986457,-7503.275735641786,6152.845746461857,879.9877719935604,16055.751971209276,-20934.60383297644,-18119.432145114122,12827.689146557645,-11365.598498028801,86.375999,-645.624023,-752.496033,4480.0,1820.0,700.0
-8936.379798027638,16024.711549275227,-2617.597348391936,15030.417076935988,-9715.778011187915,-7047.226421371445,-9187.939088945977,-10770.068696100778,-4706.646125369958,3887.6708937427557,599.0337866537673,10120.959890544482,-13154.769534499766,-11367.41096194128,8077.769860046639,-7141.503140242286,82.959999,-646.600037,-754.936035,4620.0,1820.0,840.0
1535.8869966580164,-2704.073502308169,446.8826998877623,-2498.7304245517676,1650.9044711735842,1300.1427217013027,1548.6290854722647,2032.0703705348797,805.1277274011093,-639.3945663556343,-49.97573638388933,-1684.6687983935278,2230.620518145939,1949.7884586049308,-1355.060990010469,1210.9143018640682,82.959999,-645.135986,-755.911987,4760.0,2100.0,980.0
6072.48400241771,-10860.139612835173,1774.22402730864,-10161.750956825474,6589.313466411104,4847.782337891149,6223.123166621743,7439.90456647164,3192.9287431583302,-2626.1930367779582,-373.8109514974353,-6843.932163026605,8917.011206494333,7720.735362218964,-5469.7070656531605,4840.876413902408,80.520004,-644.64801,-757.376038,4900.0,1820.0,1120.0
4501.371624130722,-8081.901534661427,1318.5155504364652,-7588.576783059015,4897.888958219241,3531.9096259462644,4634.642559963534,5388.63183789571,2370.725481447973,-1964.4155076046277,-312.3997003858975,-5108.532291809633,6631.574507966651,5726.3597382864755,-4075.114613098908,3600.760385922119,84.424004,-644.64801,-755.911987,5040.0,2100.0,1260.0
